,No.,Code,Nama,Tanggal Pencatatan,Saham,Papan,Code-Nama
81,82,BBRM,Pelayaran Nasional Bina Buana,2013-01-09 00:00:00,5367076248,Utama,Pelayaran Nasional Bina Buana (BBRM)
82,83,BBSI,Bank Bisnis Internasional Tbk.,2020-09-07 00:00:00,3276897743,Pengembangan,Bank Bisnis Internasional Tbk. (BBSI)
83,84,BBSS,Bumi Benowo Sukses Sejahtera T,2020-04-15 00:00:00,4800016020,Pengembangan,Bumi Benowo Sukses Sejahtera T (BBSS)
84,85,BBTN,Bank Tabungan Negara (Persero),17 Des 2009,10484100000,Utama,Bank Tabungan Negara (Persero) (BBTN)
85,86,BBYB,Bank Neo Commerce Tbk.,2015-01-13 00:00:00,9346736640,Utama,Bank Neo Commerce Tbk. (BBYB)
86,87,BCAP,MNC Kapital Indonesia Tbk.,2001-06-08 00:00:00,42618850927,Utama,MNC Kapital Indonesia Tbk. (BCAP)
87,88,BCIC,Bank JTrust Indonesia Tbk.,1997-06-25 00:00:00,14042260836,Pengembangan,Bank JTrust Indonesia Tbk. (BCIC)
88,89,BCIP,Bumi Citra Permai Tbk.,11 Des 2009,1429915525,Pengembangan,Bumi Citra Permai Tbk. (BCIP)
89,90,BDMN,Bank Danamon Indonesia Tbk.,06 Des 1989,9675817341,Utama,Bank Danamon Indonesia Tbk. (BDMN)
90,91,BEBS,Berkah Beton Sadaya Tbk.,2021-03-10 00:00:00,9000000000,Pengembangan,Berkah Beton Sadaya Tbk. (BEBS)
91,92,BEEF,Estika Tata Tiara Tbk.,2019-01-10 00:00:00,1884312595,Pengembangan,Estika Tata Tiara Tbk. (BEEF)
92,93,BEKS,Bank Pembangunan Daerah Banten,2001-07-13 00:00:00,51351733883,Pengembangan,Bank Pembangunan Daerah Banten (BEKS)
93,94,BELL,Trisula Textile Industries Tbk,03 Okt 2017,7250000000,PENGEMBANGAN,Trisula Textile Industries Tbk (BELL)
94,95,BESS,Batulicin Nusantara Maritim Tb,2020-03-09 00:00:00,3410608260,Pengembangan,Batulicin Nusantara Maritim Tb (BESS)
95,96,BEST,Bekasi Fajar Industrial Estate,2012-04-10 00:00:00,9647311150,Utama,Bekasi Fajar Industrial Estate (BEST)
96,97,BFIN,BFI Finance Indonesia Tbk.,16 Mei 1990,15967115620,Utama,BFI Finance Indonesia Tbk. (BFIN)
97,98,BGTG,Bank Ganesha Tbk.,12 Mei 2016,11063309400,Pengembangan,Bank Ganesha Tbk. (BGTG)
98,99,BHAT,Bhakti Multi Artha Tbk.,2020-04-15 00:00:00,5000000000,Pengembangan,Bhakti Multi Artha Tbk. (BHAT)
99,100,BHIT,MNC Investama Tbk.,1997-11-24 00:00:00,86068156705,Utama,MNC Investama Tbk. (BHIT)
100,101,BIKA,Binakarya Jaya Abadi Tbk.,2015-07-14 00:00:00,592280000,Pengembangan,Binakarya Jaya Abadi Tbk. (BIKA)
101,102,BIMA,Primarindo Asia Infrastructure,30 Ags 1994,608175716,Pengembangan,Primarindo Asia Infrastructure (BIMA)
102,103,BINA,Bank Ina Perdana Tbk.,2014-01-16 00:00:00,5877722813,Utama,Bank Ina Perdana Tbk. (BINA)
103,104,BINO,Perma Plasindo Tbk.,2021-11-25 00:00:00,2175000000,Pengembangan,Perma Plasindo Tbk. (BINO)
104,105,BIPI,Astrindo Nusantara Infrastrukt,2010-02-11 00:00:00,44693066193,Pengembangan,Astrindo Nusantara Infrastrukt (BIPI)
105,106,BIPP,Bhuwanatala Indah Permai Tbk.,23 Okt 1995,5028669366,Pengembangan,Bhuwanatala Indah Permai Tbk. (BIPP)
106,107,BIRD,Blue Bird Tbk.,2014-11-05 00:00:00,2502100000,UTAMA,Blue Bird Tbk. (BIRD)
107,108,BISI,BISI International Tbk.,28 Mei 2007,3000000000,UTAMA,BISI International Tbk. (BISI)
108,109,BJBR,Bank Pembangunan Daerah Jawa B,2010-07-08 00:00:00,9740399289,Utama,Bank Pembangunan Daerah Jawa B (BJBR)
109,110,BJTM,Bank Pembangunan Daerah Jawa T,2012-07-12 00:00:00,14865343101,Utama,Bank Pembangunan Daerah Jawa T (BJTM)
110,111,BKDP,Bukit Darmo Property Tbk,2007-06-15 00:00:00,7513992252,Pengembangan,Bukit Darmo Property Tbk (BKDP)
111,112,BKSL,Sentul City Tbk.,1997-07-28 00:00:00,67083561082,Utama,Sentul City Tbk. (BKSL)
112,113,BKSW,Bank QNB Indonesia Tbk.,2002-11-21 00:00:00,20232319124,Pengembangan,Bank QNB Indonesia Tbk. (BKSW)
113,114,BLTA,Berlian Laju Tanker Tbk,1990-03-26 00:00:00,25940187103,Utama,Berlian Laju Tanker Tbk (BLTA)
114,115,BLTZ,Graha Layar Prima Tbk.,2014-04-10 00:00:00,873937142,Pengembangan,Graha Layar Prima Tbk. (BLTZ)
115,116,BLUE,Berkah Prima Perkasa Tbk.,2019-07-08 00:00:00,418000000,Pengembangan,Berkah Prima Perkasa Tbk. (BLUE)
116,117,BMAS,Bank Maspion Indonesia Tbk.,2013-07-11 00:00:00,4399026922,Pengembangan,Bank Maspion Indonesia Tbk. (BMAS)
117,118,BMHS,Bundamedik Tbk.,2021-07-06 00:00:00,8603416176,Utama,Bundamedik Tbk. (BMHS)
118,119,BMRI,Bank Mandiri (Persero) Tbk.,2003-07-14 00:00:00,46199999998,Utama,Bank Mandiri (Persero) Tbk. (BMRI)
119,120,BMSR,Bintang Mitra Semestaraya Tbk,29 Des 1999,1159200024,Utama,Bintang Mitra Semestaraya Tbk (BMSR)
120,121,BMTR,Global Mediacom Tbk.,1995-07-17 00:00:00,16583997586,Utama,Global Mediacom Tbk. (BMTR)
121,122,BNBA,Bank Bumi Arta Tbk.,2006-06-01 00:00:00,2286900000,Utama,Bank Bumi Arta Tbk. (BNBA)
122,123,BNBR,Bakrie & Brothers Tbk,28 Ags 1989,21160865261,Pengembangan,Bakrie & Brothers Tbk (BNBR)
123,124,BNGA,Bank CIMB Niaga Tbk.,1989-11-29 00:00:00,24880290775,Utama,Bank CIMB Niaga Tbk. (BNGA)
124,125,BNII,Bank Maybank Indonesia Tbk.,1989-11-21 00:00:00,75357433911,Utama,Bank Maybank Indonesia Tbk. (BNII)
125,126,BNLI,Bank Permata Tbk.,1990-01-15 00:00:00,35819545925,Utama,Bank Permata Tbk. (BNLI)
126,127,BOBA,Formosa Ingredient Factory Tbk,2021-11-01 00:00:00,1155750000,Pengembangan,Formosa Ingredient Factory Tbk (BOBA)
127,128,BOGA,Bintang Oto Global Tbk.,19 Des 2016,3803526210,Pengembangan,Bintang Oto Global Tbk. (BOGA)
128,129,BOLA,Bali Bintang Sejahtera Tbk.,2019-06-17 00:00:00,6000000000,Pengembangan,Bali Bintang Sejahtera Tbk. (BOLA)
129,130,BOLT,Garuda Metalindo Tbk.,2015-07-07 00:00:00,2343750000,Pengembangan,Garuda Metalindo Tbk. (BOLT)
130,131,BOSS,Borneo Olah Sarana Sukses Tbk.,2018-02-15 00:00:00,1400000000,Pengembangan,Borneo Olah Sarana Sukses Tbk. (BOSS)
131,132,BPFI,Batavia Prosperindo Finance Tb,2009-06-01 00:00:00,1782663575,Pengembangan,Batavia Prosperindo Finance Tb (BPFI)
132,133,BPII,Batavia Prosperindo Internasio,2014-07-08 00:00:00,562224662,Pengembangan,Batavia Prosperindo Internasio (BPII)
133,134,BPTR,Batavia Prosperindo Trans Tbk.,2018-07-09 00:00:00,1550000000,Utama,Batavia Prosperindo Trans Tbk. (BPTR)
134,135,BRAM,Indo Kordsa Tbk.,1990-09-05 00:00:00,450000000,Utama,Indo Kordsa Tbk. (BRAM)
135,136,BRIS,Bank Syariah Indonesia Tbk.,09 Mei 2018,40717924372,Utama,Bank Syariah Indonesia Tbk. (BRIS)
136,137,BRMS,Bumi Resources Minerals Tbk.,09 Des 2010,118153366949,Pengembangan,Bumi Resources Minerals Tbk. (BRMS)
137,138,BRNA,Berlina Tbk.,1989-11-06 00:00:00,979110000,Pengembangan,Berlina Tbk. (BRNA)
138,139,BRPT,Barito Pacific Tbk.,01 Okt 1993,93747218044,Utama,Barito Pacific Tbk. (BRPT)
139,140,BSDE,Bumi Serpong Damai Tbk.,2008-06-06 00:00:00,21171365812,Utama,Bumi Serpong Damai Tbk. (BSDE)
140,141,BSIM,Bank Sinarmas Tbk.,13 Des 2010,19517921842,Utama,Bank Sinarmas Tbk. (BSIM)
141,142,BSML,Bintang Samudera Mandiri Lines,16 Des 2021,1850225000,Pengembangan,Bintang Samudera Mandiri Lines (BSML)
142,143,BSSR,Baramulti Suksessarana Tbk.,2012-11-08 00:00:00,2616500000,Pengembangan,Baramulti Suksessarana Tbk. (BSSR)
143,144,BSWD,Bank Of India Indonesia Tbk.,01 Mei 2002,1374912000,Pengembangan,Bank Of India Indonesia Tbk. (BSWD)
144,145,BTEK,Bumi Teknokultura Unggul Tbk,14 Mei 2004,46277496376,Pengembangan,Bumi Teknokultura Unggul Tbk (BTEK)
145,146,BTEL,Bakrie Telecom Tbk.,2006-02-03 00:00:00,36822665755,Utama,Bakrie Telecom Tbk. (BTEL)
146,147,BTON,Betonjaya Manunggal Tbk.,2001-07-18 00:00:00,720000000,PENGEMBANGAN,Betonjaya Manunggal Tbk. (BTON)
147,148,BTPN,Bank BTPN Tbk.,2008-03-12 00:00:00,8066054461,Utama,Bank BTPN Tbk. (BTPN)
